Class,Year,Region ,Type,CTSA,GOVT,GOVT AIDED,INDEPENDENT,JNV,KV
10,2023,Ajmer,Regd,0,8537,0,102253,4945,9194
10,2023,Ajmer,Appd,0,8509,0,101822,4928,9160
10,2023,Bhubaneswar,Regd,102,17252,0,81012,5295,13489
10,2023,Bhubaneswar,Appd,101,17036,0,80621,5277,13441
10,2023,Chandigarh,Regd,68,14941,217,112557,2884,7016
10,2023,Chandigarh,Appd,67,14868,217,112317,2874,6989
10,2023,Delhi East,Regd,0,124319,7818,78927,81,7339
10,2023,Delhi East,Appd,0,123021,7778,78645,81,7317
10,2023,Pune,Regd,0,2135,0,81413,3016,7322
10,2023,Pune,Appd,0,2130,0,81112,3007,7297
10,2023,Guwahati,Regd,0,25746,136,28645,5592,6638
10,2023,Guwahati,Appd,0,25309,136,28326,5522,6601
10,2023,Panchkula,Regd,89,516,0,154210,2431,3922
10,2023,Panchkula,Appd,89,515,0,153618,2424,3906
10,2023,Bengaluru,Regd,99,151,0,60667,2442,5108
10,2023,Bengaluru,Appd,97,151,0,60555,2440,5093
10,2023,Bhopal,Regd,0,5802,0,84877,4171,9126
10,2023,Bhopal,Appd,0,5681,0,84390,4160,9094
10,2023,Chennai,Regd,0,4935,0,129650,2316,11463
10,2023,Chennai,Appd,0,4867,0,129342,2313,11439
10,2023,Noida,Regd,0,466,1519,132092,1322,4991
10,2023,Noida,Appd,0,458,1517,130784,1315,4971
10,2023,Patna,Regd,0,203,0,222805,4706,7517
10,2023,Patna,Appd,0,202,0,219583,4676,7488
10,2023,Prayagraj,Regd,0,2955,0,173769,3750,9347
10,2023,Prayagraj,Appd,0,2789,0,171869,3736,9322
10,2023,Trivandrum,Regd,0,500,0,61764,1166,4574
10,2023,Trivandrum,Appd,0,500,0,61705,1164,4566
10,2023,Dehradun,Regd,151,2131,240,76961,1536,4535
10,2023,Dehradun,Appd,150,2111,240,76588,1534,4525
10,2023,Delhi West,Regd,0,87771,9527,47235,78,2998
10,2023,Delhi West,Appd,0,86757,9437,46955,78,2988
